Age,Annual Income,Spending Score,Previous Purchases,Campaign Engagement,Days Since Last Purchase,Gender,Marital Status,Children,Social Media Interaction,Email Click Rate,Online Browsing Time,Loyalty Points,Product Reviews,Customer Tenure,Response
69,126583,16,14,2,62,0,0,2,6,0.5693729644,135,4284,45,18,0
20,49558,37,2,3,306,1,1,2,8,0.3741740358,16,148,44,18,0
54,60782,76,14,5,256,0,1,1,13,0.2333820464,200,559,1,1,1
68,34782,24,13,0,247,1,0,2,17,0.4793103928,109,3594,31,15,0
24,121417,26,0,6,263,1,1,2,9,0.1850457277,95,2956,2,3,0
38,84712,20,7,0,336,0,0,0,15,0.2453791738,223,2766,20,3,0
26,135764,9,6,9,360,0,1,1,0,0.8267340497,240,4786,7,19,0
56,124945,87,8,8,178,1,1,1,8,0.2285412207,253,1996,38,9,1
35,49462,29,17,9,314,1,0,2,12,0.6953674512,100,1879,3,15,0
21,90030,31,11,8,300,0,1,1,15,0.2504698132,208,3606,26,8,0
42,98519,19,7,8,164,0,0,1,15,0.2123983668,241,1521,35,5,0
31,86411,20,7,3,90,1,0,1,1,0.251155556,150,2849,47,4,0
67,85206,87,5,1,321,0,0,1,8,0.4682979673,162,706,47,9,0
26,127469,27,2,6,191,0,0,2,12,0.1462796745,269,2253,8,3,0
43,76950,94,1,3,291,0,1,0,7,0.1066125386,64,2364,7,8,0
19,32523,85,13,4,75,0,1,2,10,0.7567406575,48,4800,13,19,0
37,90926,44,7,0,305,1,0,0,16,0.02330167122,163,92,48,1,0
45,39677,35,5,9,98,0,1,1,19,0.3854841808,128,523,37,8,0
64,105828,71,3,5,94,0,1,3,10,0.3960344145,21,1339,2,8,0
24,45089,22,4,6,180,1,1,1,10,0.8930413433,2,818,44,5,0
61,34581,74,12,2,153,1,1,1,15,0.7744911011,234,4328,9,13,0
25,41907,87,8,9,355,0,1,3,6,0.5106767307,267,1606,32,0,1
64,35609,15,12,1,323,0,1,1,0,0.4798129869,257,3682,17,17,0
52,81153,94,8,9,111,1,0,1,14,0.5656012997,192,4934,37,11,1
31,80539,98,15,6,170,0,1,3,17,0.3578278255,40,3032,26,0,0
34,74143,13,11,0,252,1,1,1,13,0.7007771888,215,2143,29,5,0
53,52936,4,1,1,350,0,0,1,12,0.6860711713,243,3242,9,5,0
67,80182,82,18,2,121,0,0,0,1,0.5746546549,101,1019,39,3,0
57,138261,56,15,3,204,0,0,2,19,0.05769268474,266,2009,39,10,0
21,141259,23,12,4,244,0,1,1,10,0.1268376566,179,3128,13,0,0
19,129524,97,4,3,126,0,0,1,18,0.03927627621,179,4320,46,0,0
23,125042,98,5,9,358,0,0,1,5,0.7185157336,190,1442,6,7,0
59,43163,34,16,2,314,1,1,0,16,0.4775996801,270,4946,10,2,0
21,89758,99,16,0,45,0,0,1,0,0.9549811695,69,4192,30,11,0
46,76057,17,16,6,295,0,1,2,19,0.9523283676,39,4035,25,5,0
35,42537,28,2,9,235,0,1,3,4,0.7981708185,8,2784,21,5,0
43,52419,14,12,5,140,0,1,0,0,0.4430489159,113,2352,5,16,0
61,72578,34,11,1,120,1,1,3,12,0.3163503994,144,2051,19,8,0
51,104991,75,5,1,360,1,1,0,0,0.200974218,150,2075,42,13,0
27,104599,57,12,2,8,0,1,1,11,0.23249492,222,2111,14,18,0
53,30834,77,13,7,65,0,1,0,8,0.990318457,79,583,49,12,1
31,62214,97,6,7,308,1,1,1,12,0.530348772,50,1163,28,4,0
48,122934,55,4,9,80,0,0,3,9,0.01225348296,85,1193,30,8,0
65,130028,66,13,9,259,0,0,3,15,0.04429320338,143,3345,9,9,0
32,32413,98,17,9,104,1,1,2,5,0.4587662161,172,1819,49,3,1
25,39505,93,3,9,96,1,1,2,7,0.4434817863,188,4191,13,6,0
31,132802,37,0,7,189,0,1,0,6,0.4055587251,267,3933,8,18,0
40,32105,68,6,6,347,0,1,0,12,0.8236034188,200,2645,23,16,1
57,98104,76,19,1,194,1,1,1,16,0.7031553533,5,1585,36,13,0
38,137634,26,12,0,333,1,0,3,11,0.1074171489,101,1732,27,16,0
33,144897,61,3,5,82,0,0,3,10,0.3626788961,247,1922,18,19,0
62,88408,92,12,7,250,0,1,0,5,0.5966799355,201,2998,28,13,1
35,67679,67,3,0,69,1,0,3,14,0.3824888791,231,2834,19,6,0
64,146908,84,2,2,291,0,0,2,4,0.2083053312,162,4113,14,14,0
41,144921,74,7,0,339,1,1,0,15,0.6280529576,46,669,39,11,0
43,129096,52,19,9,187,1,1,2,10,0.6022491698,84,2030,35,12,0
42,109731,18,7,8,140,1,1,1,9,0.9746094408,116,4599,31,17,0
62,142205,53,16,6,139,0,0,2,7,0.561070321,274,3556,19,5,0
58,95131,63,14,7,74,1,1,0,4,0.8742975862,282,839,20,5,1
46,94280,53,3,8,99,1,1,2,9,0.9491961964,138,2044,35,5,0
32,45762,27,5,2,144,0,1,2,9,0.4347839748,186,656,27,2,0
62,147798,31,5,9,174,1,0,0,0,0.05289370252,40,183,37,6,0
18,146854,91,9,1,308,1,0,1,12,0.1434943976,170,3085,5,11,0
42,136830,1,3,5,220,0,1,2,19,0.5039701975,27,1726,4,1,0
24,88703,6,8,4,322,1,1,0,17,0.8929580036,62,2638,6,17,0
26,111434,11,15,3,9,0,0,2,4,0.6541320695,279,4451,44,0,0
41,93079,34,6,5,45,0,0,2,15,0.2014817166,204,3601,46,14,0
18,51577,84,13,5,338,1,1,3,5,0.7010443497,294,2023,23,10,1
61,31214,63,5,2,116,1,1,2,9,0.8942193248,121,1380,34,19,0
25,116339,53,0,1,3,1,0,1,6,0.03022555951,44,3806,28,19,0
41,78114,85,17,8,312,1,0,2,19,0.2428121222,170,4108,47,7,1
28,119234,85,11,7,237,1,0,0,15,0.1531808246,194,1352,13,11,0
68,93230,18,14,3,293,0,0,0,0,0.7841030011,296,1773,34,17,0
34,62980,21,0,5,30,0,0,3,6,0.8914774091,46,2879,3,4,0
25,97194,19,14,2,129,1,1,3,11,0.5545574766,121,1509,17,18,0
52,107806,4,14,7,240,1,1,2,14,0.8482018678,150,1862,47,14,0
52,142333,77,15,2,80,0,1,3,1,0.6569371629,287,151,21,16,0
50,67792,82,0,1,24,1,0,1,17,0.6566995416,73,1507,39,10,0
22,75807,29,2,6,260,1,1,3,3,0.5797081685,184,2697,29,5,0
59,52301,25,11,2,47,1,1,0,12,0.05001870084,165,766,41,17,0
56,35141,56,6,8,51,0,1,3,8,0.9369781052,76,2419,42,13,0
58,146482,77,4,2,329,0,1,1,3,0.3557714268,270,3861,14,5,0
45,134292,63,0,7,148,0,0,1,8,0.8025777052,12,1413,42,7,0
24,43777,27,0,1,98,0,1,3,0,0.8099845705,290,3377,8,11,0
26,68346,60,14,8,66,1,0,3,7,0.9657612345,129,3034,19,16,0
25,84703,83,7,0,209,1,1,3,0,0.3266996391,60,811,3,9,0
29,124977,49,10,2,247,1,0,0,15,0.9973994006,95,1221,0,0,0
51,77819,65,13,1,118,0,1,0,14,0.3005744811,85,4358,17,14,0
50,58469,38,12,6,227,1,1,1,14,0.4513701649,3,1525,3,16,0
65,33845,83,18,4,102,0,0,3,4,0.7062500329,109,1570,27,7,1
40,140186,52,11,7,288,1,0,2,18,0.154988628,13,1117,6,7,0
41,53290,1,18,1,239,0,0,1,10,0.2663731845,144,2890,13,9,0
54,142551,40,3,7,231,1,0,0,18,0.7281135074,141,3135,39,13,0
52,60699,81,3,6,289,1,1,1,2,0.9743841548,231,765,49,14,0
61,74252,21,2,4,153,1,1,0,3,0.732798779,40,4125,37,9,0
57,128682,86,5,1,169,1,0,2,15,0.8622987785,282,2489,16,19,0
39,33293,15,4,9,158,1,1,3,11,0.03748675242,39,569,38,12,0
44,148017,50,10,6,112,1,1,3,6,0.5770259094,34,1930,49,18,0
52,149496,48,8,9,50,1,1,3,0,0.9140918661,94,1093,5,19,0
18,139934,32,2,3,35,1,0,2,10,0.6823970415,186,1746,25,13,0
52,87089,49,8,3,12,1,1,2,14,0.6764622914,176,799,40,13,0
54,141964,68,11,7,340,0,1,2,18,0.203040205,190,1456,3,7,1
64,46608,45,2,5,217,0,0,2,14,0.8611411666,10,4057,27,13,0
31,96273,32,19,8,242,0,0,0,8,0.8650453541,250,4466,12,19,0
20,46619,4,16,1,222,0,1,1,12,0.614007038,249,1512,33,8,0
18,108006,65,11,4,207,0,1,2,17,0.426618206,79,3581,45,2,1
22,145399,97,17,5,268,0,0,0,16,0.8242734647,296,4546,17,4,1
43,117908,71,3,7,221,1,1,1,4,0.4649956829,159,2009,23,14,0
31,111653,73,9,3,287,1,0,1,15,0.8226146367,20,4861,29,12,0
56,44779,65,17,6,11,0,1,2,6,0.4849157472,247,3887,49,0,1
44,81040,80,7,6,186,0,0,2,4,0.5797939486,113,3790,9,6,1
26,124830,18,8,3,168,1,0,1,10,0.7480220354,250,2405,1,11,0
32,86325,54,18,0,292,1,1,1,15,0.2649935859,180,960,42,11,0
32,145947,47,12,2,323,1,0,0,12,0.2468452276,47,973,28,3,0
43,51630,6,5,1,105,1,1,2,1,0.667841286,57,4450,0,0,0
59,135575,66,6,2,175,0,1,1,11,0.9539132794,136,1013,16,3,0
30,145436,9,5,4,348,0,1,1,11,0.4460339652,155,3976,21,18,0
68,42178,68,10,0,40,1,1,3,9,0.8982023389,155,1498,25,16,0
49,49935,23,16,4,311,0,1,2,12,0.5181871072,173,4840,9,8,0
56,77258,43,18,1,324,0,0,0,11,0.9739312267,281,4255,7,6,0
66,52784,51,11,3,248,1,1,0,18,0.7920474654,250,2616,19,6,0
69,93722,72,12,5,266,1,1,3,16,0.8595575334,195,701,21,17,1
49,53027,25,17,8,221,1,1,2,15,0.6796040275,194,2143,47,3,0
21,126544,80,6,9,112,1,0,0,16,0.8684925757,229,709,23,19,1
47,87853,35,4,5,283,0,0,3,5,0.5927982783,43,2100,21,3,0
54,142167,17,15,9,277,1,0,0,17,0.5673367655,216,2859,22,2,0
40,97359,18,3,1,202,1,0,0,10,0.8737114712,276,4411,48,19,0
56,102388,27,0,7,340,0,1,3,11,0.01506617078,35,3238,27,18,0
62,108608,15,3,4,261,1,1,1,16,0.4787789031,69,2543,1,15,0
32,106669,81,2,8,281,1,0,1,1,0.8700739142,180,2812,41,2,0
60,45111,69,3,9,143,0,0,0,12,0.1961495277,254,4702,36,2,0
46,62312,80,0,8,242,1,0,2,18,0.9580093215,147,3871,3,15,0
53,54161,15,11,3,269,1,0,2,18,0.740601749,222,680,36,10,0
30,148920,42,12,0,34,0,1,2,3,0.7624224831,114,3667,20,11,0
49,134823,34,1,8,297,1,0,3,0,0.6654761808,126,168,25,2,0
24,97313,48,8,8,52,1,1,0,1,0.4474744083,93,501,14,4,0
68,80374,83,6,7,355,0,1,3,17,0.4609564238,258,3591,34,6,1
39,54014,8,12,4,149,0,0,2,11,0.8391081204,211,4816,46,8,0
45,110308,10,1,4,12,1,1,3,8,0.1391393434,7,2099,14,11,0
19,76389,5,0,9,266,1,1,1,4,0.5220674512,255,1203,21,5,0
59,140163,48,17,5,96,1,0,2,15,0.3099470587,117,1266,0,16,0
62,48161,26,6,0,85,1,1,2,3,0.9843164086,0,4812,25,12,0
23,137800,86,17,8,308,0,0,1,19,0.003692987101,1,2596,9,19,0
45,37490,23,18,4,264,0,0,1,2,0.06367434024,73,1827,19,12,0
45,149547,62,7,6,70,0,0,0,17,0.9673878668,292,1684,47,19,1
61,137197,13,11,7,16,1,1,3,7,0.5437917467,249,1966,0,13,0
61,54502,9,10,4,188,0,1,0,1,0.138535114,93,2653,11,14,0
37,65757,20,8,2,9,1,0,0,11,0.4486402908,50,4498,40,17,0
47,71111,92,3,5,165,1,0,0,0,0.3226575429,171,4348,23,10,0
28,128273,57,6,6,38,0,1,0,17,0.9112081489,151,4839,25,10,0
45,113245,24,16,3,344,0,1,1,9,0.6875793126,159,4686,42,5,0
42,88645,33,10,8,218,0,0,1,7,0.1305188575,183,3735,49,6,0
56,140218,20,1,3,93,1,1,3,3,0.536445618,191,4044,1,8,0
50,89055,60,17,9,157,0,1,3,17,0.1344601724,157,4951,19,1,0
18,149815,48,11,1,362,1,1,3,2,0.6652306365,165,3328,18,12,0
44,38998,64,8,8,33,0,1,1,2,0.7272272851,118,2154,24,15,1
69,58906,30,10,3,288,1,1,2,11,0.5621600717,125,4722,38,7,0
30,131026,73,4,3,11,0,0,2,18,0.9659558101,182,721,0,8,0
58,100192,17,6,9,232,1,0,3,16,0.944334451,44,1970,30,1,0
20,80477,14,0,0,86,1,0,2,16,0.2059156199,189,996,3,17,0
56,66901,19,4,1,92,0,0,0,3,0.0003293855058,134,1210,2,19,0
23,121271,71,5,2,106,1,0,3,6,0.6627488177,154,4362,35,11,0
25,82021,59,12,6,192,0,0,2,6,0.4756415573,229,4251,10,7,0
44,59092,67,10,8,9,1,1,0,6,0.3346585242,229,4020,18,9,1
26,31242,97,7,4,124,0,1,0,7,0.9168897562,22,3233,8,8,0
54,136843,44,19,3,274,0,0,0,18,0.978507767,159,4792,41,14,0
50,31831,32,1,1,278,1,1,0,8,0.9305772691,1,3432,40,10,0
68,80721,11,14,6,127,0,0,2,8,0.5001952581,202,2047,19,10,0
59,58511,2,9,5,340,1,0,1,13,0.7033566627,161,256,8,5,0
61,102782,90,7,6,184,1,0,0,17,0.1715736126,188,1166,17,16,0
41,127003,68,1,7,362,0,1,3,8,0.9508565917,110,2967,44,0,0
32,48302,17,14,8,354,0,1,2,4,0.2836766885,289,1959,35,16,0
49,85568,81,5,9,58,1,1,0,7,0.1927393419,262,3141,41,1,0
49,33232,92,4,4,181,1,1,3,3,0.06015856629,265,3014,31,10,0
41,132062,94,2,4,73,1,0,0,19,0.55037132,129,66,3,9,0
58,134301,40,10,3,1,1,1,1,13,0.9484637905,240,3095,29,2,0
69,81507,87,10,2,242,1,1,0,16,0.1355882507,80,893,10,4,0
66,106508,46,15,6,227,0,1,1,15,0.1208303023,156,3019,41,10,0
66,143672,88,2,4,47,0,0,3,8,0.2725976322,209,695,18,6,0
69,130128,93,8,6,5,1,0,2,4,0.665393893,237,444,17,17,0
29,40683,4,2,1,42,1,1,0,4,0.5478135064,16,1817,44,8,0
56,53664,38,18,8,144,1,1,1,5,0.09620696028,183,4416,4,11,0
19,132364,63,10,8,126,0,1,3,5,0.4423002415,85,1792,42,9,1
20,63172,29,13,8,334,0,0,0,7,0.06693228638,271,3195,37,19,0
66,113641,19,1,4,245,0,1,0,15,0.8519034786,152,3305,18,5,0
54,94340,91,6,9,120,1,0,0,13,0.1071117792,270,3330,19,1,0
66,117236,29,9,8,231,0,0,1,0,0.4712983118,100,4713,1,1,0
34,41017,35,9,0,188,0,1,2,15,0.5104635816,78,1751,18,0,0
66,66613,70,19,1,284,0,0,3,14,0.5301262723,270,203,36,14,0
19,116130,23,0,9,241,0,1,1,4,0.6091549146,183,1101,42,13,0
19,106920,46,5,4,77,1,1,2,8,0.7015824209,81,1638,10,10,0
45,60348,44,13,4,57,1,1,3,2,0.004358006633,36,544,12,2,0
40,46448,48,1,5,180,0,1,1,6,0.03091436739,127,20,19,1,0
54,39491,52,5,7,69,0,0,1,6,0.611551396,64,654,41,11,0
49,108648,8,0,0,264,1,1,2,15,0.1821420436,288,3630,41,18,0
50,126557,55,2,9,203,1,1,3,2,0.8318451141,130,4831,1,1,0
18,88759,66,3,8,169,0,0,2,14,0.6275116489,181,1764,49,13,0
36,74553,77,12,3,294,0,0,2,6,0.9804007287,148,1780,8,16,0
19,30968,40,2,7,246,0,1,1,2,0.7280042904,109,4914,44,8,0
61,30368,85,14,4,58,1,0,2,15,0.09071441239,104,4896,6,14,0
43,103960,31,12,0,299,0,1,0,5,0.1709759425,26,2017,3,0,0
49,65010,48,10,8,320,1,1,0,7,0.04654889726,114,490,47,4,0
23,84154,61,3,7,10,0,1,0,15,0.7411758656,226,4477,1,6,0
49,65851,52,16,4,346,0,0,0,5,0.126823285,128,3691,22,9,0
21,55496,38,4,3,339,1,1,3,15,0.6637674935,259,3018,0,2,0
28,60936,91,7,7,4,0,0,2,1,0.5553977443,23,2023,48,17,0
34,108858,36,9,8,204,0,0,2,0,0.6332976406,109,3060,4,1,0
55,97005,87,6,6,244,0,1,0,18,0.5086698981,156,1160,31,8,1
41,67493,55,16,3,248,0,1,3,13,0.0130287109,21,286,18,10,0
22,99795,85,6,6,104,0,1,2,18,0.2532180757,150,1692,30,15,1
69,66390,13,18,5,241,1,0,0,3,0.8849818367,212,2380,3,13,0
51,40292,37,8,2,271,0,0,1,1,0.9292685682,7,2185,6,3,0
23,122377,47,1,9,6,1,1,2,1,0.09720978835,79,1617,31,9,0
39,58365,90,19,2,223,1,0,1,11,0.9526286984,87,2426,32,15,0
28,47207,71,18,0,216,1,0,2,10,0.6705260518,58,3738,5,9,0
65,131735,22,5,4,43,1,0,2,17,0.9225575737,89,415,33,6,0
33,52912,39,9,7,25,0,1,2,18,0.4011639381,262,263,14,17,0
50,132455,87,12,5,291,1,1,1,16,0.1017450426,280,2551,27,19,0
26,132517,58,1,7,180,1,0,3,3,0.3024532639,101,4044,15,16,0
23,110771,30,9,6,91,1,0,1,11,0.6896815172,172,2705,20,10,0
33,86572,18,9,1,267,1,1,0,2,0.7952214989,217,3737,21,3,0
46,137293,18,4,7,345,1,0,3,15,0.05012228292,255,79,32,9,0
20,129083,74,3,3,67,1,0,1,3,0.4869516701,153,3796,34,8,0
37,143655,39,1,4,363,1,1,1,5,0.06436670219,157,1261,24,10,0
53,139346,94,6,7,150,0,1,0,0,0.8636133042,193,2819,39,4,1
36,49276,26,17,4,103,0,1,1,4,0.4763388248,234,3872,25,6,0
43,127459,71,16,4,87,0,0,3,9,0.9148218263,52,4638,18,8,1
20,35534,7,10,5,94,1,1,1,13,0.0785788129,200,4000,19,10,0
36,122005,69,17,6,285,0,0,3,4,0.3304699848,166,398,29,10,0
37,131610,65,7,8,318,1,1,0,9,0.6765384331,107,4558,41,15,1
49,65670,46,11,6,2,0,1,3,8,0.293586081,139,1190,46,7,0
24,92147,18,0,5,207,0,1,1,12,0.8415585404,127,3656,35,7,0
69,128099,13,19,9,101,0,1,0,16,0.9868336983,177,4987,19,1,0
58,141695,25,11,3,347,0,1,3,18,0.2812195993,55,3359,40,16,0
50,66486,8,5,9,176,1,1,3,19,0.3610778645,176,1004,44,19,0
57,95557,74,2,1,303,0,0,2,0,0.9673455397,287,1855,21,1,0
56,64268,32,4,8,198,1,1,2,8,0.3580611066,81,4265,36,18,0
35,137338,17,13,9,7,0,0,1,17,0.5559865133,212,2516,26,12,0
57,111335,79,11,4,244,0,1,2,4,0.7692416662,171,2955,31,9,1
18,56336,79,12,4,292,1,0,1,13,0.4383447544,168,1698,45,13,1
28,33641,48,12,2,326,1,0,0,18,0.3726079491,96,1843,21,4,0
45,117132,63,16,2,177,1,0,3,14,0.4955883461,222,4714,7,2,0
42,62959,40,14,0,81,1,1,0,3,0.779519883,194,2399,11,1,0
67,43306,84,5,4,111,1,0,0,3,0.3121622772,149,1138,24,8,0
40,76182,15,11,2,358,0,1,2,17,0.3508074971,241,3289,17,6,0
48,104123,99,1,1,20,1,0,3,17,0.1891393038,88,957,0,3,0
47,86326,6,3,8,33,1,1,0,7,0.7016175001,177,3785,31,2,0
59,126895,94,19,9,254,1,0,3,1,0.899450469,211,3432,45,13,1
52,51498,63,11,5,26,1,0,3,15,0.1857399209,158,150,1,9,0
24,100198,8,2,2,7,1,1,0,13,0.03458953706,50,4820,35,18,0
33,132630,95,16,6,17,1,0,3,0,0.3812706583,247,4368,45,18,1
43,137369,32,5,8,232,0,0,1,16,0.410154765,288,3544,21,16,0
65,57197,45,16,8,306,1,0,3,9,0.6458635268,19,2496,15,9,0
69,50719,52,16,0,190,1,0,1,15,0.08559099899,175,4220,47,6,0
66,120201,79,10,1,149,0,1,1,2,0.8214984057,71,2125,27,19,0
19,138775,82,6,7,155,0,0,1,18,0.5739868071,229,4629,47,1,1
18,55032,13,1,0,46,0,1,0,10,0.5459709188,120,2830,35,6,0
65,89624,24,18,2,311,0,1,1,14,0.3163630337,141,4467,15,7,0
29,108177,40,1,6,138,0,0,3,17,0.3652675131,61,2622,34,14,0
22,71964,14,12,7,141,0,0,2,19,0.05542725053,178,417,32,16,0
54,60028,92,15,4,334,1,1,2,18,0.7537547776,205,2652,24,13,1
49,141030,75,16,1,13,0,0,2,6,0.6047365634,126,2133,38,7,0
26,84646,70,10,2,355,1,0,1,5,0.9764285075,197,70,11,14,0
58,111187,62,8,8,258,0,1,0,8,0.3535617726,97,3378,15,11,1
52,38536,89,8,9,235,0,1,1,12,0.6662437156,126,2793,35,17,1
36,147399,61,13,6,6,0,0,2,7,0.9195452971,80,4977,32,14,1
65,86747,1,12,0,38,1,0,3,17,0.7116808891,230,4359,47,5,0
33,75712,89,10,2,184,0,0,1,2,0.0403105247,293,3045,40,7,0
20,36273,66,11,8,114,0,0,2,0,0.6322368025,142,3328,35,13,1
37,101820,32,2,6,109,0,1,3,17,0.5453910143,35,4184,35,17,0
41,121228,13,0,1,64,0,1,0,3,0.4993133383,227,2988,48,17,0
50,104353,33,7,5,230,0,0,3,17,0.5530439676,8,3630,27,9,0
41,124491,32,18,8,280,0,1,0,15,0.4605658268,235,3711,33,4,0
69,122091,56,12,3,30,1,1,3,17,0.6918322326,226,4567,15,2,0
28,115914,24,6,9,85,0,1,0,2,0.0149129028,236,2366,28,7,0
66,80830,91,12,1,137,0,0,0,13,0.1885597125,144,745,28,12,0
25,136718,4,5,2,76,0,1,0,9,0.3653856288,81,4602,23,11,0
53,47127,88,2,6,136,0,0,1,4,0.4526672703,3,3783,22,6,0
55,145150,23,5,3,121,0,1,3,7,0.130486348,83,4737,16,0,0
57,113488,29,2,6,263,1,1,0,17,0.8201459776,12,4191,3,0,0
37,41539,98,12,4,96,0,0,3,4,0.9293913714,114,1750,22,4,1
52,76761,21,12,7,18,1,0,1,11,0.7512154894,298,3057,21,11,0
65,76219,30,12,7,285,1,0,2,3,0.9288180483,263,4969,37,3,0
42,44692,90,0,4,8,0,0,2,11,0.7432213726,234,4578,26,6,0
52,113656,20,7,6,82,0,0,0,12,0.4410560188,122,603,29,12,0
42,43334,16,4,5,46,0,0,1,13,0.3931329734,209,2515,21,15,0
46,58615,67,19,7,89,1,0,3,13,0.1663993819,198,640,5,7,0
35,37903,49,16,8,0,1,1,0,18,0.08644704103,43,425,26,14,0
63,58527,58,8,4,161,0,1,2,9,0.219618282,178,4039,21,9,0
35,45629,44,12,6,152,0,1,1,8,0.5321357322,116,2026,12,16,0
19,88008,25,12,0,0,1,0,2,17,0.1349471511,246,1493,23,10,0
52,113276,23,4,7,145,1,1,1,16,0.951163546,100,3446,49,15,0
33,129318,59,13,2,160,1,0,2,4,0.2185024571,9,2784,32,14,0
58,56708,1,10,0,134,0,1,0,1,0.8336313953,221,855,29,0,0
53,40860,97,13,5,285,0,0,0,9,0.8188189629,280,1683,21,5,1
50,47438,15,6,7,76,0,0,0,0,0.1412038309,102,1184,6,6,0
21,97300,81,16,2,80,1,0,2,7,0.7107428476,161,2648,8,10,0
50,101545,98,3,0,268,0,1,3,7,0.8241138369,43,4856,31,4,0
31,50842,81,9,2,268,0,1,2,5,0.8842873618,245,2723,34,1,0
38,90213,52,9,4,41,1,1,2,4,0.9539796042,89,3271,16,14,0
65,72372,58,14,7,123,0,0,3,17,0.9301034645,195,2767,21,7,0
37,144316,41,19,8,229,1,1,0,6,0.3111370575,170,4647,25,0,0
25,128971,44,11,8,356,0,1,2,3,0.2676559466,257,3098,31,0,0
24,98906,4,8,3,201,0,1,2,0,0.3975304163,113,3500,28,13,0
20,68744,77,2,7,333,0,1,0,1,0.4650062682,154,4169,36,14,0
34,146082,68,14,4,106,0,0,2,18,0.2338850169,289,3479,35,10,1
50,87442,7,11,2,291,0,0,3,2,0.08608319602,163,3102,45,4,0
65,115990,46,14,4,290,0,0,1,0,0.6565864229,214,274,41,6,0
29,136917,9,0,1,173,0,1,2,12,0.1742407842,106,823,9,1,0
68,133903,87,14,5,311,1,0,3,7,0.9148996821,68,2973,22,2,1
39,33650,33,10,0,86,1,0,0,11,0.2876848031,103,3032,4,5,0
39,75117,33,4,5,4,0,0,1,7,0.1976862409,84,3416,10,2,0
63,121244,84,6,4,171,1,1,0,6,0.1941581524,298,1910,11,0,0
47,138198,4,11,8,120,1,0,0,7,0.2894684938,73,2997,19,1,0
55,82772,65,19,6,155,0,1,0,14,0.6121657893,276,1492,9,8,1
55,33190,34,5,5,86,1,0,1,6,0.9783169891,140,1323,25,10,0
